osmid,y,x,street_count,highway,ref,geometry
1244007891,32.2726014,34.8391808,1,,,POINT (34.8391808 32.2726014)
1244007911,32.2728146,34.8397011,1,,,POINT (34.8397011 32.2728146)
1244007914,32.2724453,34.8406115,3,,,POINT (34.8406115 32.2724453)
1244007964,32.2719424,34.839631,3,,,POINT (34.839631 32.2719424)
1244008042,32.2727059,34.8411196,3,,,POINT (34.8411196 32.2727059)
1244008100,32.2733453,34.8406882,1,,,POINT (34.8406882 32.2733453)
1656791483,32.2799898,34.850904,3,,,POINT (34.850904 32.2799898)
1656791506,32.2805465,34.8496086,3,,,POINT (34.8496086 32.2805465)
1656791511,32.2808871,34.8501759,3,,,POINT (34.8501759 32.2808871)
1656791538,32.2813049,34.8489923,3,,,POINT (34.8489923 32.2813049)
1656791541,32.2816247,34.8495479,3,,,POINT (34.8495479 32.2816247)
1656791553,32.2821317,34.8482836,3,,,POINT (34.8482836 32.2821317)
1656791577,32.282363,34.8507661,3,,,POINT (34.8507661 32.282363)
1656791584,32.2824558,34.8488284,3,,,POINT (34.8488284 32.2824558)
1656791594,32.283192,34.850066,3,,,POINT (34.850066 32.283192)
1656791608,32.2835205,34.8506182,2,,,POINT (34.8506182 32.2835205)
1673811594,32.2822029,34.846618,4,traffic_signals,,POINT (34.846618 32.2822029)
1673811601,32.2833003,34.84638,1,,,POINT (34.84638 32.2833003)
1673811604,32.2834528,34.8489534,4,,,POINT (34.8489534 32.2834528)
1673811606,32.2824541,34.8470411,3,,,POINT (34.8470411 32.2824541)
1673811642,32.2781596,34.8499314,4,traffic_signals,1,POINT (34.8499314 32.2781596)
1673811650,32.277852,34.8501935,3,,,POINT (34.8501935 32.277852)
1673811697,32.2780336,34.8497087,4,traffic_signals,1,POINT (34.8497087 32.2780336)
1673811710,32.2821073,34.8466978,4,traffic_signals,,POINT (34.8466978 32.2821073)
1683091770,32.2796483,34.8503197,3,,,POINT (34.8503197 32.2796483)
1683091776,32.2782623,34.849867,4,traffic_signals,1,POINT (34.849867 32.2782623)
1683091796,32.2805578,34.8525858,4,traffic_signals,3,POINT (34.8525858 32.2805578)
1683091804,32.2781441,34.8496167,4,traffic_signals,1,POINT (34.8496167 32.2781441)
1828351137,32.273958,34.8401806,4,,,POINT (34.8401806 32.273958)
1828351140,32.2738229,34.8404303,3,,,POINT (34.8404303 32.2738229)
1828351157,32.2740814,34.8403572,3,,,POINT (34.8403572 32.2740814)
1828351162,32.2785018,34.8403392,3,,,POINT (34.8403392 32.2785018)
1828351172,32.2738912,34.8402684,4,,,POINT (34.8402684 32.2738912)
1828351173,32.2739359,34.8404071,3,,,POINT (34.8404071 32.2739359)
1933370254,32.2823157,34.8465254,3,,,POINT (34.8465254 32.2823157)
1933370255,32.2821837,34.8468274,3,,,POINT (34.8468274 32.2821837)
1933370256,32.2822929,34.8467696,3,,,POINT (34.8467696 32.2822929)
1933370257,32.2819995,34.8467878,3,,,POINT (34.8467878 32.2819995)
2679488705,32.2792275,34.8517287,4,traffic_signals,,POINT (34.8517287 32.2792275)
2751862248,32.2802231,34.8525626,3,,,POINT (34.8525626 32.2802231)
4385385875,32.2782129,34.8446209,3,,,POINT (34.8446209 32.2782129)
4385385883,32.2775296,34.8444635,3,,,POINT (34.8444635 32.2775296)
4385386690,32.2801891,34.8426938,3,,,POINT (34.8426938 32.2801891)
4385386694,32.2780818,34.8442838,3,,,POINT (34.8442838 32.2780818)
5258243206,32.2714183,34.8453759,3,,,POINT (34.8453759 32.2714183)
5258243207,32.2713358,34.845192,3,,,POINT (34.845192 32.2713358)
5258243208,32.2713513,34.8454116,3,,,POINT (34.8454116 32.2713513)
5258243209,32.2712658,34.8453499,3,,,POINT (34.8453499 32.2712658)
5258243627,32.2722057,34.8471575,3,,,POINT (34.8471575 32.2722057)
5258243628,32.2722681,34.847307,3,,,POINT (34.847307 32.2722681)
5258243629,32.272357,34.8472819,3,,,POINT (34.8472819 32.272357)
5258243630,32.2722735,34.84709,3,,,POINT (34.84709 32.2722735)
5332962649,32.2751238,34.8433653,3,,,POINT (34.8433653 32.2751238)
5332962653,32.27675,34.8471013,4,traffic_signals,,POINT (34.8471013 32.27675)
5332962659,32.2787901,34.845531,3,,,POINT (34.845531 32.2787901)
